director_name,actor_1_name,actor_2_name,actor_3_name,genres,Title
Adam Robitel , Lin Shaye, Angus Sampson, Leigh Whannell,Mystery Horror Thriller,Insidious  The Last Key
Lauren Wolkstein , Alex Pettyfer, James Freedson-Jackson, Emily Althaus,Thriller Drama,The Strange Ones
Simon West , Warren Davis II , Dominic Cooper, Austin Stowell,Action Thriller,Stratton
Warwick Thornton , Steven McGregor , Bryan Brown, Sam Neill,Drama History Western,Sweet Country
Jaume Collet-Serra , Philip de Blasi , Liam Neeson, Vera Farmiga,Action Thriller,The Commuter
Babak Najafi , Christian Swegal , Taraji P. Henson, Billy Brown,Thriller Action Crime,Proud Mary
Brett Donowho , Bruce Willis, Cole Hauser, Shawn Ashmore,Action,Acts of Violence
Trudie Styler , Beth Rigazio , Alex Lawther, Abigail Breslin,Comedy Drama,Freak Show
Sam Hoffman /screenplay, Elliott Gould, Ingrid Michaelson, Annie Potts,Comedy,Humor Me
Hiromasa Yonebayashi /screenplay, Ruby Barnhill, Louis Ashbourne Serkis, Kate Winslet,Fantasy Adventure Animation,Mary and the Witch's Flower
Nicolai Fuglsig , Ted Tally , Chris Hemsworth, Michael Shannon,Drama Action History War,12 Strong
Christian Gudegast /screenplay, Gerard Butler, 50 Cent, Pablo Schreiber,Action Thriller Crime,Den of Thieves
Wes Ball , Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster,Action Science Fiction,Maze Runner  The Death Cure
Ziad Doueiri /screenplay, Adel Karam, Camille Salameh, Kamel El Basha,Comedy Crime,The Insult
Ben Lewin , Dakota Fanning, Toni Collette, Alice Eve,Comedy Drama,Please Stand By
The Spierig Brothers /screenplay, Jason Clarke, Sarah Snook, Angus Sampson,Fantasy Mystery Thriller Horror,Winchester
Mario Van Peebles /screenplay, William Fichtner, Ryan Guzman, Columbus Short,Action Horror Thriller,Armed
Julius Onah , Doug Jung , Daniel Brühl, Elizabeth Debicki,Mystery Thriller Horror Science Fiction,The Cloverfield Paradox
Will Gluck /screenplay, James Corden, Domhnall Gleeson, Rose Byrne,Animation Adventure Family,Peter Rabbit
James Foley , Dakota Johnson, Jamie Dornan, Kim Basinger,Drama Romance,Fifty Shades Freed
Clint Eastwood , Anthony Sadler, Alek Skarlatos, Spencer Stone,Drama History Thriller,The 15 17 to Paris
Brian Crano /screenplay, Dan Stevens, Morgan Spector, David Joseph Craig,Comedy Romance Drama,Permission
Alex Ross Perry /screenplay, Adam Horowitz, Mary-Louise Parker, Jason Schwartzman,Drama,Golden Exits
Ryan Coogler /​screenplay, Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o,Action Adventure Fantasy Science Fiction,Black Panther
Nick Park , John O'Farrell , Eddie Redmayne, Tom Hiddleston,Family Comedy Animation Adventure,Early Man
Andrey Zvyagintsev , Andrey Zvyagintsev , Maryana Spivak, Alexei Rozin,Drama,Loveless
Sally Potter /screenplay, Kristin Scott Thomas, Patricia Clarkson, Emily Mortimer,Comedy,The Party
Mark Pellington /screenplay, Jon Hamm, Nick Offerman, Amber Tamblyn,Drama,Nostalgia
Lance Daly , Pierce Ryan, Eugene O'Brien, & Lance Daly (screenplay),Drama Western,Black '47
Bruce Macdonald , Jason Baumgardner , Taylor James, Jackson Rathbone,Action Drama Adventure,Samson
Jonathan Goldstein, Mark Perez , Jason Bateman, Rachel McAdams,Mystery Comedy Crime,Game Night
Alex Garland /screenplay, Jennifer Jason Leigh, Gina Rodriguez, Tessa Thompson,Action Science Fiction Horror Mystery,Annihilation
Michael Sucsy , Angourie Rice, Maria Bello, Debby Ryan,Drama Fantasy Romance,Every Day
Brian O'Malley , Charlotte Vega, Bill Milner, Eugene Simon,Drama Horror Romance Thriller,The Lodgers
Francis Lawrence , Jennifer Lawrence, Joel Edgerton, Matthias Schoenaerts,Mystery Thriller,Red Sparrow
Eli Roth , Bruce Willis, Vincent D'Onofrio, Dean Norris,Action Crime Drama Thriller,Death Wish
Shawn Christensen /screenplay, Logan Lerman, Elle Fanning, Michelle Monaghan,Drama Mystery,The Vanishing of Sidney Hall
Usher Morgan /screenplay, Joel Bernard, Katie Vincent, Joe Trombino,Action Crime Thriller Drama Mystery,Pickings
Ava DuVernay , Storm Reid, Oprah Winfrey, Reese Witherspoon,Adventure Science Fiction Family Fantasy,A Wrinkle in Time
Nash Edgerton , Matthew Stone , David Oyelowo, Charlize Theron,Comedy Action,Gringo
Cory Finley /screenplay, Anya Taylor-Joy, Anton Yelchin, Paul Sparks,Drama Thriller,Thoroughbreds
Armando Iannucci /screenplay, Simon Russell Beale, Paddy Considine, Rupert Friend,Comedy Drama History,The Death of Stalin
Paolo Virzì /screenplay, Francesco Piccolo, Stephen Amidon (screenplay), Donald Sutherland,Drama Romance Adventure,The Leisure Seeker
Johannes Roberts , Ben Ketai , Christina Hendricks, Martin Henderson,Horror Thriller,The Strangers  Prey at Night
Rob Cohen /screenplay, Maggie Grace, Ryan Kwanten, Melissa Bolona,Action Crime Thriller,The Hurricane Heist
Roar Uthaug , Alicia Vikander, Dominic West, Walton Goggins,Action Adventure Fantasy,Tomb Raider
Greg Berlanti , Elizabeth Berger , Nick Robinson, Katherine Langford,Comedy Drama Romance,"Love, Simon"
Jon Erwin /screenplay, Alex Cramer, Brent McCorkle (screenplay), Cloris Leachman,Music Drama,I Can Only Imagine
José Padilha , Rosamund Pike, Daniel Brühl, Vincent Cassel,Thriller Drama Crime,7 Days in Entebbe
Laurie Collyer , Melissa Leo, Tessa Thompson, La La Anthony,Comedy,Furlough
Eric England , Sophie Turner, Dylan McDermott, Jack Kilmer,Comedy Music,Josie
Max Winkler , Zoey Deutch, Kathryn Hahn, Tim Heidecker,Drama Comedy,Flower
Steven S. DeKnight /screenplay, Kira Snyder, T.S. Nowlin (screenplay), John Boyega,Action Fantasy Science Fiction Adventure,Pacific Rim  Uprising
Wes Anderson /screenplay, Edward Norton, Bill Murray, Jeff Goldblum,Adventure Comedy Animation,Isle of Dogs
John Stevenson , James McAvoy, Emily Blunt, Johnny Depp,Animation Family Fantasy Comedy Adventure Mystery,Sherlock Gnomes
Steven Soderbergh , James Greer , Claire Foy, Joshua Leonard,Horror Thriller,Unsane
Andrew Hyatt /screenplay, Jim Caviezel, Olivier Martinez, Joanne Whalley,History Drama,"Paul, Apostle of Christ"
Stanley Tucci /screenplay, Armie Hammer, Clémence Poésy, Tony Shalhoub,Drama History,Final Portrait
Scott Speer , Bella Thorne, Patrick Schwarzenegger, Rob Riggle,Romance Drama,Midnight Sun
Ryan Justice /screenplay, Jason Henne , Amanda Delaney, Justin Maina,Thriller,Followers
Steven Spielberg , Zak Penn , Tye Sheridan, Olivia Cooke,Adventure Science Fiction,Ready Player One
Michael Mason /screenplay, John Corbett, Shane Harper, Benjamin Onyango,Drama,God's Not Dead  A Light in Darkness
Aaron Katz /screenplay, Zoë Kravitz, Greta Lee, Michelle Forbes,Action Drama Science Fiction Thriller,Gemini
Adam Rifkin /screenplay, Ariel Winter, Clark Duke, Ellar Coltrane,Drama,The Last Movie Star
John Krasinski /screenplay, Bryan Woods , John Krasinski, Emily Blunt,Drama Science Fiction Thriller,A Quiet Place
Kay Cannon , Jon Hurwitz, Hayden Schlossberg, Brian Kehoe,Comedy,Blockers
Lynne Ramsay /screenplay, Ekaterina Samsonov, Alex Manette, John Doman,Thriller Drama,You Were Never Really Here
John Curran , Andrew Logan , Jason Clarke, Kate Mara,Drama Thriller History,Chappaquiddick
Andrew Haigh /screenplay, Chloë Sevigny, Travis Fimmel, Steve Buscemi,Drama Adventure,Lean on Pete
Sean McNamara , Elissa Matsueda , Helen Hunt, William Hurt,Drama,The Miracle Season
Brad Anderson , Jon Hamm, Rosamund Pike, Dean Norris,Action Thriller Drama,Beirut
Brad Peyton , Dwayne Johnson, Naomie Harris, Malin Åkerman,Action Adventure Science Fiction,Rampage
Jeff Wadlow /screenplay, Chris Roach, Jillian Jacobs (screenplay), Lucy Hale,Thriller Horror,Truth or Dare
